Level,Health,Attack,Defense
1,5.90,7.90,3.30
2,10.60,14.20,5.90
3,15.30,20.50,8.60
4,20.10,26.90,11.20
5,24.80,33.20,13.90
6,29.50,39.50,16.50
7,34.20,45.80,19.10
8,38.90,52.10,21.80
9,43.70,58.50,24.40
10,48.40,64.80,27.10
11,53.10,71.10,29.70
12,57.80,77.40,32.30
13,62.50,83.70,35.00
14,67.30,90.10,37.60
15,72.00,96.40,40.30
16,76.70,102.70,42.90
17,81.40,109.00,45.50
18,86.10,115.30,48.20
19,90.90,121.70,50.80
20,95.60,128.00,53.50
21,100.30,134.30,56.10
22,105.00,140.60,58.70
23,109.70,146.90,61.40
24,114.50,153.30,64.00
25,119.20,159.60,66.70
26,123.90,165.90,69.30
27,128.60,172.20,71.90
28,133.30,178.50,74.60
29,138.10,184.90,77.20
30,142.80,191.20,79.90
31,147.50,197.50,82.50
32,152.20,203.80,85.10
33,156.90,210.10,87.80
34,161.70,216.50,90.40
35,166.40,222.80,93.10
36,171.10,229.10,95.70
37,175.80,235.40,98.30
38,180.50,241.70,101.00
39,185.30,248.10,103.60
40,190.00,254.40,106.30
41,194.70,260.70,108.90
42,199.40,267.00,111.50
43,204.10,273.30,114.20
44,208.90,279.70,116.80
45,213.60,286.00,119.50
46,218.30,292.30,122.10
47,223.00,298.60,124.70
48,227.70,304.90,127.40
49,232.50,311.30,130.00
50,237.20,317.60,132.70
51,241.90,323.90,135.30
52,246.60,330.20,137.90
53,251.30,336.50,140.60
54,256.10,342.90,143.20
55,260.80,349.20,145.90
56,265.50,355.50,148.50
57,270.20,361.80,151.10
58,274.90,368.10,153.80
59,279.70,374.50,156.40
60,284.40,380.80,159.10
61,289.10,387.10,161.70
62,293.80,393.40,164.30
63,298.50,399.70,167.00
64,303.30,406.10,169.60
65,308.00,412.40,172.30
66,312.70,418.70,174.90
67,317.40,425.00,177.50
68,322.10,431.30,180.20
69,326.90,437.70,182.80
70,331.60,444.00,185.50
71,336.30,450.30,188.10
72,341.00,456.60,190.70
73,345.70,462.90,193.40
74,350.50,469.30,196.00
75,355.20,475.60,198.70
76,359.90,481.90,201.30
77,364.60,488.20,203.90
78,369.30,494.50,206.60
79,374.10,500.90,209.20
80,378.80,507.20,211.90
81,383.50,513.50,214.50
82,388.20,519.80,217.10
83,392.90,526.10,219.80
84,397.70,532.50,222.40
85,402.40,538.80,225.10
86,407.10,545.10,227.70
87,411.80,551.40,230.30
88,416.50,557.70,233.00
89,421.30,564.10,235.60
90,426.00,570.40,238.30
91,430.70,576.70,240.90
92,435.40,583.00,243.50
93,440.10,589.30,246.20
94,444.90,595.70,248.80
95,449.60,602.00,251.50
96,454.30,608.30,254.10
97,459.00,614.60,256.70
98,463.70,620.90,259.40
99,468.50,627.30,262.00
100,473.20,633.60,264.70
