Level,Health,Attack,Defense
1,9.50,7.50,2.80
2,14.20,11.20,4.20
3,18.80,14.90,5.50
4,23.50,18.60,6.90
5,28.20,22.20,8.40
6,33.20,26.20,9.80
7,37.60,29.70,11.10
8,42.30,33.40,12.40
9,47.10,37.20,13.90
10,52.20,41.20,15.40
11,56.40,44.50,16.60
12,60.60,47.80,17.80
13,65.80,51.90,19.40
14,71.20,56.20,21.00
15,75.20,59.40,22.20
16,80.00,63.10,23.50
17,84.60,66.90,25.00
18,90.20,71.20,26.60
19,94.10,74.20,27.70
20,98.80,78.00,29.10
21,102.40,80.80,30.10
22,109.20,86.20,32.20
23,112.90,89.10,33.20
24,117.60,92.80,34.70
25,122.30,96.60,36.10
26,128.20,101.20,37.80
27,131.70,103.90,38.80
28,136.40,107.70,40.20
29,141.00,111.30,41.60
30,147.20,116.20,43.40
31,149.00,117.60,43.80
32,155.20,122.50,45.80
33,159.90,126.30,47.10
34,166.20,131.20,49.00
35,167.60,132.30,49.40
36,174.00,137.40,51.30
37,178.60,141.00,52.70
38,185.20,146.20,54.60
39,188.10,148.50,55.40
40,192.80,152.20,56.90
41,195.70,154.40,57.60
42,204.20,161.20,60.20
43,204.80,161.70,60.30
44,209.50,165.40,61.70
45,214.10,169.00,63.20
46,223.20,176.20,65.80
47,223.50,176.40,66.00
48,230.40,181.90,67.90
49,235.20,185.70,69.30
50,237.40,187.40,70.00
51,242.10,191.20,71.40
52,246.80,194.90,72.70
53,254.00,200.40,74.80
54,261.20,206.20,77.00
55,260.60,205.80,76.90
56,268.10,211.60,79.00
57,272.70,215.40,80.40
58,280.20,221.20,82.60
59,279.30,220.60,82.30
60,284.00,224.20,83.80
61,291.50,230.10,85.90
62,299.20,236.20,88.20
63,298.00,235.30,87.80
64,305.70,241.30,90.10
65,310.30,245.10,91.50
66,315.00,248.70,92.90
67,319.80,252.40,94.30
68,324.50,256.20,95.60
69,329.10,259.80,97.00
70,337.20,266.20,99.40
71,338.60,267.30,99.80
72,343.30,271.00,101.20
73,346.40,273.40,102.20
74,356.20,281.20,105.00
75,357.40,282.10,105.40
76,362.10,285.90,106.70
77,366.90,289.50,108.10
78,375.20,296.20,110.60
79,376.20,297.00,110.90
80,380.90,300.70,112.30
81,385.50,304.50,113.60
82,390.20,308.10,115.00
83,395.00,311.90,116.40
84,395.70,312.40,116.60
85,404.40,319.20,119.20
86,413.20,326.20,121.80
87,413.80,326.70,122.00
88,418.50,330.40,123.30
89,425.50,335.60,125.30
90,432.20,341.20,127.40
91,432.60,341.50,127.50
92,437.40,345.30,128.90
93,442.10,348.90,130.20
94,446.70,352.60,131.70
95,451.40,356.40,133.10
96,458.50,361.90,135.10
97,460.90,363.90,135.90
98,470.20,371.20,138.60
99,470.20,371.20,138.60
100,470.20,371.20,138.60
