Level,Health,Attack,Defense
1,15.90,4.80,4.00
2,17.50,5.30,4.40
3,18.50,5.80,4.80
4,20.70,6.20,5.20
5,22.30,6.70,5.60
6,23.80,7.20,6.00
7,25.10,7.70,6.30
8,27.00,8.20,6.80
9,28.60,8.60,7.20
10,30.20,9.10,7.60
11,31.20,9.40,7.80
12,33.40,10.10,8.40
13,34.70,10.50,8.70
14,36.30,10.90,9.10
15,38.20,11.50,9.60
16,38.90,11.80,9.80
17,41.30,12.50,10.40
18,42.90,13.00,10.80
19,44.50,13.40,11.20
20,46.10,13.90,11.60
21,47.70,14.40,12.00
22,49.30,14.90,12.40
23,50.90,15.40,12.80
24,52.50,15.80,13.20
25,53.50,16.10,13.50
26,55.60,16.80,14.00
27,57.20,17.30,14.40
28,58.80,17.80,14.80
29,60.40,18.20,15.20
30,62.00,18.70,15.60
31,63.60,19.20,16.00
32,65.20,19.70,16.40
33,66.80,20.20,16.80
34,68.40,20.60,17.20
35,70.00,21.10,17.60
36,71.50,21.60,18.00
37,73.10,22.10,18.40
38,74.00,22.40,18.60
39,76.30,23.00,19.20
40,77.90,23.50,19.60
41,78.70,23.80,19.80
42,81.10,24.50,20.40
43,82.70,25.00,20.80
44,84.30,25.40,21.20
45,85.90,25.90,21.60
46,87.40,26.40,22.00
47,89.00,26.90,22.40
48,90.60,27.40,22.80
49,92.20,27.80,23.20
50,93.80,28.30,23.60
51,95.40,28.80,24.00
52,97.00,29.30,24.40
53,98.60,29.80,24.80
54,100.20,30.20,25.20
55,101.80,30.70,25.60
56,102.20,30.90,25.70
57,104.90,31.70,26.40
58,106.50,32.20,26.80
59,108.10,32.60,27.20
60,109.70,33.10,27.60
61,111.30,33.60,28.00
62,112.90,34.10,28.40
63,114.50,34.60,28.80
64,116.10,35.00,29.20
65,117.70,35.50,29.60
66,118.00,35.60,29.70
67,120.80,36.50,30.40
68,122.40,37.00,30.80
69,124.00,37.40,31.20
70,124.40,37.50,31.30
71,127.20,38.40,32.00
72,128.80,38.90,32.40
73,130.40,39.40,32.80
74,132.00,39.80,33.20
75,132.30,39.90,33.30
76,132.40,40.00,33.40
77,136.70,41.30,34.40
78,138.30,41.80,34.80
79,139.90,42.20,35.20
80,141.50,42.70,35.60
81,143.10,43.20,36.00
82,144.70,43.70,36.40
83,146.30,44.20,36.80
84,147.90,44.60,37.20
85,149.50,45.10,37.60
86,151.00,45.60,38.00
87,152.60,46.10,38.40
88,152.60,46.20,38.40
89,155.80,47.00,39.20
90,157.40,47.50,39.60
91,159.00,48.00,40.00
92,160.60,48.50,40.40
93,160.60,48.50,40.40
94,163.80,49.40,41.20
95,165.40,49.90,41.60
96,166.90,50.40,42.00
97,168.50,50.90,42.40
98,168.40,50.80,42.40
99,171.70,51.80,43.20
100,173.30,52.30,43.60
