Level,Health,Attack,Defense
1,10.80,5.40,2.40
2,16.20,8.10,3.60
3,21.60,10.80,4.80
4,29.70,14.90,6.60
5,32.40,16.20,7.20
6,45.80,22.90,10.10
7,43.20,21.60,9.60
8,48.60,24.30,10.80
9,54.00,27.00,12.00
10,59.40,29.70,13.20
11,64.80,32.40,14.40
12,70.20,35.10,15.60
13,75.60,37.80,16.80
14,81.00,40.50,18.00
15,86.40,43.20,19.20
16,91.80,45.90,20.40
17,106.90,53.50,23.80
18,102.60,51.30,22.80
19,118.80,59.40,26.40
20,113.40,56.70,25.20
21,118.80,59.40,26.40
22,136.60,68.30,30.40
23,129.60,64.80,28.80
24,135.00,67.50,30.00
25,140.40,70.20,31.20
26,145.80,72.90,32.40
27,151.20,75.60,33.60
28,156.60,78.30,34.80
29,162.00,81.00,36.00
30,167.40,83.70,37.20
31,172.80,86.40,38.40
32,178.20,89.10,39.60
33,183.60,91.80,40.80
34,189.00,94.50,42.00
35,194.40,97.20,43.20
36,219.80,109.90,48.80
37,205.20,102.60,45.60
38,231.70,115.80,51.50
39,216.00,108.00,48.00
40,243.50,121.80,54.10
41,226.80,113.40,50.40
42,232.20,116.10,51.60
43,237.60,118.80,52.80
44,267.30,133.60,59.40
45,248.40,124.20,55.20
46,253.80,126.90,56.40
47,313.60,156.90,69.70
48,320.20,160.10,71.20
49,270.00,135.00,60.00
50,275.40,137.70,61.20
51,280.80,140.40,62.40
52,346.30,173.10,77.00
53,291.60,145.80,64.80
54,297.00,148.50,66.00
55,302.40,151.20,67.20
56,307.80,153.90,68.40
57,313.20,156.60,69.60
58,350.50,175.20,77.90
59,324.00,162.00,72.00
60,329.40,164.70,73.20
61,334.80,167.40,74.40
62,340.20,170.10,75.60
63,345.60,172.80,76.80
64,351.00,175.50,78.00
65,356.40,178.20,79.20
66,361.80,180.90,80.40
67,403.90,202.00,89.80
68,372.60,186.30,82.80
69,415.80,207.90,92.40
70,383.40,191.70,85.20
71,388.80,194.40,86.40
72,394.20,197.10,87.60
73,439.60,219.80,97.70
74,405.00,202.50,90.00
75,410.40,205.20,91.20
76,457.40,228.70,101.60
77,421.20,210.60,93.60
78,426.60,213.30,94.80
79,432.00,216.00,96.00
80,437.40,218.70,97.20
81,487.10,243.50,108.20
82,448.20,224.10,99.60
83,453.60,226.80,100.80
84,459.00,229.50,102.00
85,464.40,232.20,103.20
86,469.80,234.90,104.40
87,475.20,237.60,105.60
88,480.60,240.30,106.80
89,486.00,243.00,108.00
90,491.40,245.70,109.20
91,496.80,248.40,110.40
92,502.20,251.10,111.60
93,507.60,253.80,112.80
94,513.00,256.50,114.00
95,570.20,285.10,126.70
96,523.80,261.90,116.40
97,529.20,264.60,117.60
98,534.60,267.30,118.80
99,540.00,270.00,120.00
100,545.40,272.70,121.20
